Fecha,Venta
11/27/2017,8
12/04/2017,10
12/11/2017,12
12/18/2017,32
12/25/2017,18
01/01/2018,21
01/08/2018,36
01/15/2018,35
01/22/2018,26
01/29/2018,50
02/05/2018,57
02/12/2018,35
02/19/2018,42
02/26/2018,68
03/05/2018,79
03/12/2018,77
03/19/2018,85
03/26/2018,95
04/02/2018,93
04/09/2018,101
04/16/2018,62
04/23/2018,53
04/30/2018,89
05/07/2018,91
05/14/2018,117
05/21/2018,122
05/28/2018,136
06/04/2018,123
06/11/2018,137
06/18/2018,99
06/25/2018,119
07/02/2018,116
07/09/2018,88
07/16/2018,170
07/23/2018,164
07/30/2018,149
08/06/2018,111
08/13/2018,136
08/20/2018,141
08/27/2018,128
09/03/2018,124
09/10/2018,100
09/17/2018,99
09/24/2018,58
10/01/2018,90
10/08/2018,83
10/15/2018,35
10/22/2018,42
10/29/2018,75
11/05/2018,61
11/12/2018,47
11/19/2018,30
11/26/2018,83
12/03/2018,53
12/10/2018,66
12/17/2018,61
12/24/2018,55
12/31/2018,65
01/07/2019,67
01/14/2019,57
01/21/2019,48
01/28/2019,41
02/04/2019,61
02/11/2019,75
02/18/2019,60
02/25/2019,97
03/04/2019,81
03/11/2019,88
03/18/2019,74
03/25/2019,63
04/01/2019,94
04/08/2019,118
04/15/2019,121
04/22/2019,99
04/29/2019,124
05/06/2019,101
05/13/2019,121
05/20/2019,177
05/27/2019,125
06/03/2019,194
06/10/2019,178
06/17/2019,196
06/24/2019,139
07/01/2019,168
07/08/2019,182
07/15/2019,180
07/22/2019,126
07/29/2019,172
08/05/2019,191
08/12/2019,221
08/19/2019,133
08/26/2019,138
09/02/2019,107
09/09/2019,143
09/16/2019,128
09/23/2019,143
09/30/2019,147
10/07/2019,114
10/14/2019,105
10/21/2019,89
10/28/2019,88
11/04/2019,72
11/11/2019,59
11/18/2019,78
11/25/2019,88
12/02/2019,69
12/09/2019,95
12/16/2019,74
12/23/2019,53
12/30/2019,62
01/06/2020,87
01/13/2020,85
01/20/2020,77
01/27/2020,89
02/03/2020,89
02/10/2020,59
02/17/2020,81
02/24/2020,103
03/02/2020,101
03/09/2020,114
03/16/2020,107
03/23/2020,150
03/30/2020,86
04/06/2020,111
04/13/2020,81
04/20/2020,120
04/27/2020,122
05/04/2020,124
05/11/2020,124
05/18/2020,152
05/25/2020,103
06/01/2020,137
06/08/2020,141
06/15/2020,144
06/22/2020,116
06/29/2020,173
07/06/2020,222
07/13/2020,182
07/20/2020,160
07/27/2020,112
08/03/2020,144
08/10/2020,151
08/17/2020,164
08/24/2020,172
08/31/2020,152
09/07/2020,83
09/14/2020,100
09/21/2020,126
09/28/2020,105
10/05/2020,137
10/12/2020,124
10/19/2020,130
10/26/2020,74
11/02/2020,91
11/09/2020,99
11/16/2020,82
11/23/2020,90
11/30/2020,38
12/07/2020,69
12/14/2020,75
12/21/2020,66
12/28/2020,40
01/04/2021,52
01/11/2021,44
01/18/2021,50
01/25/2021,70
02/01/2021,89
02/08/2021,49
02/15/2021,43
02/22/2021,76
03/01/2021,61
03/08/2021,77
03/15/2021,71
03/22/2021,92
03/29/2021,36
